ID,Distance,Elevation
1,0,1772
2,0.0833650974434789,1772
3,0.166730194886958,1772
4,0.250095292330437,1772
5,0.333460389773916,1772
6,0.416825487217395,1772
7,0.500190584660874,1772
8,0.583555682104352,1772
9,0.666920779547831,1772
10,0.75028587699131,1772
11,0.833650974434789,1772
12,0.917016071878268,1771
13,1.00038116932175,1771
14,1.08374626676523,1771
15,1.1671113642087,1771
16,1.25047646165218,1771
17,1.33384155909566,1771
18,1.41720665653914,1771
19,1.50057175398262,1771
20,1.5839368514261,1771
21,1.66730194886958,1771
22,1.75066704631306,1771
23,1.83403214375654,1771
24,1.91739724120002,1771
25,2.00076233864349,1771
26,2.08412743608697,1771
27,2.16749253353045,1771
28,2.25085763097393,1771
29,2.33422272841741,1771
30,2.41758782586089,1771
31,2.50095292330437,1771
32,2.58431802074785,1771
33,2.66768311819133,1771
34,2.7510482156348,1771
35,2.83441331307828,1770
36,2.91777841052176,1770
37,3.00114350796524,1770
38,3.08450860540872,1770
39,3.1678737028522,1770
40,3.25123880029568,1770
41,3.33460389773916,1770
42,3.41796899518264,1770
43,3.50133409262612,1770
44,3.58469919006959,1770
45,3.66806428751307,1770
46,3.75142938495655,1770
47,3.83479448240003,1770
48,3.91815957984351,1770
49,4.00152467728699,1770
50,4.08488977473047,1770
51,4.16825487217395,1770
52,4.25161996961743,1770
53,4.3349850670609,1770
54,4.41835016450438,1770
55,4.50171526194786,1770
56,4.58508035939134,1770
57,4.66844545683482,1770
58,4.7518105542783,1770
59,4.83517565172178,1770
60,4.91854074916526,1770
61,5.00190584660874,1769
62,5.08527094405221,1769
63,5.16863604149569,1769
64,5.25200113893917,1769
65,5.33536623638265,1769
66,5.41873133382613,1769
67,5.50209643126961,1769
68,5.58546152871309,1769
69,5.66882662615657,1769
70,5.75219172360005,1769
71,5.83555682104353,1769
72,5.918921918487,1769
73,6.00228701593048,1769
74,6.08565211337396,1769
75,6.16901721081744,1769
76,6.25238230826092,1769
77,6.3357474057044,1769
78,6.41911250314788,1769
79,6.50247760059136,1769
80,6.58584269803484,1769
81,6.66920779547831,1769
82,6.75257289292179,1769
83,6.83593799036527,1769
84,6.91930308780875,1769
85,7.00266818525223,1768
86,7.08603328269571,1768
87,7.16939838013919,1768
88,7.25276347758267,1768
89,7.33612857502614,1768
90,7.41949367246962,1768
91,7.5028587699131,1768
92,7.58622386735658,1768
93,7.66958896480006,1768
94,7.75295406224354,1768
95,7.83631915968702,1768
96,7.9196842571305,1768
97,8.00304935457398,1768
98,8.08641445201746,1768
99,8.16977954946094,1768
100,8.25314464690441,1768
101,8.33650974434789,1768
102,8.41987484179137,1768
103,8.50323993923485,1768
104,8.58660503667833,1767
105,8.66997013412181,1767
106,8.75333523156529,1767
107,8.83670032900877,1767
108,8.92006542645225,1767
109,9.00343052389572,1767
110,9.0867956213392,1767
111,9.17016071878268,1767
112,9.25352581622616,1767
113,9.33689091366964,1767
114,9.42025601111312,1767
115,9.5036211085566,1767
116,9.58698620600008,1767
117,9.67035130344355,1767
118,9.75371640088703,1767
119,9.83708149833051,1767
120,9.92044659577399,1767
121,10.0038116932175,1767
122,10.0871767906609,1767
123,10.1705418881044,1767
124,10.2539069855479,1767
125,10.3372720829914,1767
126,10.4206371804349,1767
127,10.5040022778783,1767
128,10.5873673753218,1767
129,10.6707324727653,1767
130,10.7540975702088,1767
131,10.8374626676523,1767
132,10.9208277650957,1767
133,11.0041928625392,1767
134,11.0875579599827,1766
135,11.1709230574262,1766
136,11.2542881548697,1766
137,11.3376532523131,1766
138,11.4210183497566,1766
139,11.5043834472001,1766
140,11.5877485446436,1766
141,11.6711136420871,1766
142,11.7544787395305,1766
143,11.837843836974,1766
144,11.9212089344175,1766
145,12.004574031861,1766
146,12.0879391293044,1766
147,12.1713042267479,1766
148,12.2546693241914,1766
149,12.3380344216349,1766
150,12.4213995190784,1766
151,12.5047646165218,1766
152,12.5881297139653,1766
153,12.6714948114088,1766
154,12.7548599088523,1766
155,12.8382250062958,1766
156,12.9215901037392,1766
157,13.0049552011827,1766
158,13.0883202986262,1766
159,13.1716853960697,1765
160,13.2550504935131,1765
161,13.3384155909566,1765
162,13.4217806884001,1765
163,13.5051457858436,1765
164,13.5885108832871,1765
165,13.6718759807305,1765
166,13.755241078174,1765
167,13.8386061756175,1765
168,13.921971273061,1765
169,14.0053363705045,1765
170,14.0887014679479,1765
171,14.1720665653914,1765
172,14.2554316628349,1765
173,14.3387967602784,1765
174,14.4221618577219,1765
175,14.5055269551653,1765
176,14.5888920526088,1765
177,14.6722571500523,1765
178,14.7556222474958,1765
179,14.8389873449392,1765
180,14.9223524423827,1765
181,15.0057175398262,1765
182,15.0890826372697,1765
183,15.1724477347132,1765
184,15.2558128321566,1765
185,15.3391779296001,1765
186,15.4225430270436,1764
187,15.5059081244871,1764
188,15.5892732219306,1764
189,15.672638319374,1764
190,15.7560034168175,1764
191,15.839368514261,1764
192,15.9227336117045,1764
193,16.006098709148,1764
194,16.0894638065914,1764
195,16.1728289040349,1764
196,16.2561940014784,1764
197,16.3395590989219,1764
198,16.4229241963653,1764
199,16.5062892938088,1764
200,16.5896543912523,1764
201,16.6730194886958,1764
202,16.7563845861393,1764
203,16.8397496835827,1764
204,16.9231147810262,1764
205,17.0064798784697,1764
206,17.0898449759132,1764
207,17.1732100733567,1764
208,17.2565751708001,1764
209,17.3399402682436,1764
210,17.4233053656871,1764
211,17.5066704631306,1764
212,17.5900355605741,1764
213,17.6734006580175,1764
214,17.756765755461,1764
215,17.8401308529045,1764
