ID,Distance,Elevation
1,0,1806
2,0.151186383508703,1806
3,0.302372767017407,1806
4,0.45355915052611,1806
5,0.604745534034813,1806
6,0.755931917543516,1806
7,0.90711830105222,1806
8,1.05830468456092,1806
9,1.20949106806963,1806
10,1.36067745157833,1805
11,1.51186383508703,1805
12,1.66305021859574,1805
13,1.81423660210444,1805
14,1.96542298561314,1805
15,2.11660936912185,1805
16,2.26779575263055,1805
17,2.41898213613925,1805
18,2.57016851964796,1805
19,2.72135490315666,1805
20,2.87254128666536,1805
21,3.02372767017407,1805
22,3.17491405368277,1805
23,3.32610043719147,1805
24,3.47728682070017,1805
25,3.62847320420888,1805
26,3.77965958771758,1805
27,3.93084597122628,1805
28,4.08203235473499,1805
29,4.23321873824369,1805
30,4.38440512175239,1805
31,4.5355915052611,1805
32,4.6867778887698,1805
33,4.8379642722785,1805
34,4.98915065578721,1805
35,5.14033703929591,1805
36,5.29152342280461,1805
37,5.44270980631332,1805
38,5.59389618982202,1805
39,5.74508257333072,1805
40,5.89626895683943,1805
41,6.04745534034813,1805
42,6.19864172385683,1805
43,6.34982810736554,1805
44,6.50101449087424,1805
45,6.65220087438294,1805
46,6.80338725789165,1805
47,6.95457364140035,1805
48,7.10576002490905,1805
49,7.25694640841776,1805
50,7.40813279192646,1805
51,7.55931917543516,1805
52,7.71050555894387,1805
53,7.86169194245257,1805
54,8.01287832596127,1805
55,8.16406470946998,1805
56,8.31525109297868,1805
57,8.46643747648738,1805
58,8.61762385999609,1805
59,8.76881024350479,1805
60,8.91999662701349,1805
61,9.0711830105222,1805
62,9.2223693940309,1805
63,9.3735557775396,1805
64,9.52474216104831,1805
65,9.67592854455701,1804
66,9.82711492806571,1804
67,9.97830131157441,1804
68,10.1294876950831,1804
69,10.2806740785918,1804
70,10.4318604621005,1804
71,10.5830468456092,1804
72,10.7342332291179,1804
73,10.8854196126266,1804
74,11.0366059961353,1804
75,11.187792379644,1804
76,11.3389787631527,1804
77,11.4901651466614,1804
78,11.6413515301702,1804
79,11.7925379136789,1804
80,11.9437242971876,1804
81,12.0949106806963,1804
82,12.246097064205,1804
83,12.3972834477137,1804
84,12.5484698312224,1804
85,12.6996562147311,1804
86,12.8508425982398,1804
87,13.0020289817485,1804
88,13.1532153652572,1804
89,13.3044017487659,1804
90,13.4555881322746,1804
91,13.6067745157833,1804
92,13.757960899292,1804
93,13.9091472828007,1804
94,14.0603336663094,1804
95,14.2115200498181,1804
96,14.3627064333268,1804
97,14.5138928168355,1804
98,14.6650792003442,1804
99,14.8162655838529,1804
100,14.9674519673616,1804
101,15.1186383508703,1804
102,15.269824734379,1804
103,15.4210111178877,1804
104,15.5721975013964,1804
105,15.7233838849051,1804
106,15.8745702684138,1803
107,16.0257566519225,1803
108,16.1769430354312,1803
109,16.32812941894,1803
110,16.4793158024487,1803
111,16.6305021859574,1803
112,16.7816885694661,1803
113,16.9328749529748,1803
114,17.0840613364835,1803
115,17.2352477199922,1803
116,17.3864341035009,1803
117,17.5376204870096,1803
118,17.6888068705183,1803
119,17.839993254027,1803
120,17.9911796375357,1803
121,18.1423660210444,1803
122,18.2935524045531,1803
123,18.4447387880618,1803
124,18.5959251715705,1803
125,18.7471115550792,1803
126,18.8982979385879,1803
127,19.0494843220966,1803
128,19.2006707056053,1803
129,19.351857089114,1803
130,19.5030434726227,1803
131,19.6542298561314,1803
132,19.8054162396401,1803
133,19.9566026231488,1803
134,20.1077890066575,1803
135,20.2589753901662,1803
136,20.4101617736749,1803
137,20.5613481571836,1803
138,20.7125345406923,1803
139,20.8637209242011,1803
140,21.0149073077098,1802
141,21.1660936912185,1802
142,21.3172800747272,1802
143,21.4684664582359,1802
144,21.6196528417446,1802
145,21.7708392252533,1802
146,21.922025608762,1802
147,22.0732119922707,1802
148,22.2243983757794,1802
149,22.3755847592881,1802
150,22.5267711427968,1802
151,22.6779575263055,1802
152,22.8291439098142,1802
153,22.9803302933229,1802
154,23.1315166768316,1802
155,23.2827030603403,1802
156,23.433889443849,1802
157,23.5850758273577,1802
158,23.7362622108664,1802
159,23.8874485943751,1802
160,24.0386349778838,1802
161,24.1898213613925,1802
162,24.3410077449012,1802
163,24.4921941284099,1802
164,24.6433805119186,1802
165,24.7945668954273,1802
166,24.945753278936,1802
167,25.0969396624447,1802
168,25.2481260459534,1802
169,25.3993124294621,1802
170,25.5504988129709,1802
171,25.7016851964796,1802
172,25.8528715799883,1802
173,26.004057963497,1802
174,26.1552443470057,1801
175,26.3064307305144,1801
176,26.4576171140231,1801
177,26.6088034975318,1801
178,26.7599898810405,1801
179,26.9111762645492,1801
180,27.0623626480579,1801
181,27.2135490315666,1801
182,27.3647354150753,1801
183,27.515921798584,1801
184,27.6671081820927,1801
185,27.8182945656014,1801
186,27.9694809491101,1801
187,28.1206673326188,1801
188,28.2718537161275,1801
189,28.4230400996362,1801
190,28.5742264831449,1801
191,28.7254128666536,1801
192,28.8765992501623,1801
193,29.027785633671,1801
194,29.1789720171797,1801
195,29.3301584006884,1801
196,29.4813447841971,1801
197,29.6325311677058,1801
198,29.7837175512145,1801
199,29.9349039347232,1801
200,30.0860903182319,1801
201,30.2372767017406,1801
202,30.3884630852494,1801
203,30.5396494687581,1801
204,30.6908358522668,1801
205,30.8420222357755,1801
206,30.9932086192842,1801
207,31.1443950027929,1801
208,31.2955813863016,1800
209,31.4467677698103,1800
210,31.597954153319,1800
211,31.7491405368277,1800
212,31.9003269203364,1800
213,32.0515133038451,1800
214,32.2026996873538,1800
215,32.3538860708625,1800
216,32.5050724543712,1800
